activated TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
PPARA	1.38e-3	2.62e-2	2.62e-2	2.63e-3	2	11	1
SREBF1	2.73e-2	5.18e-1	2.59e-1	5.26e-3	2	50	0
CTNNB1	6.48e-2	1.23e+0	4.10e-1	7.89e-3	4	300	0
E2F2	1.51e-1	2.86e+0	5.34e-1	1.05e-2	1	31	0
SREBF2	1.64e-1	3.12e+0	5.34e-1	1.32e-2	1	34	0
E2F3	1.69e-1	3.20e+0	5.34e-1	1.58e-2	1	35	0
CREB1	2.49e-1	4.72e+0	6.56e-1	1.84e-2	1	54	2
TCF7L2	2.76e-1	5.25e+0	6.56e-1	2.11e-2	1	61	1
GLI2	4.26e-1	8.09e+0	8.99e-1	2.37e-2	1	104	1
GLI1	4.79e-1	9.11e+0	9.11e-1	2.63e-2	1	122	0
E2F1	5.65e-1	1.07e+1	9.77e-1	2.89e-2	1	155	0
MYC	6.56e-1	1.25e+1	1.00e+0	3.16e-2	1	197	1
SP3	1.00e+0	1.90e+1	1.00e+0	3.42e-2	0	27	1
EGR1	1.00e+0	1.90e+1	1.00e+0	3.68e-2	0	35	0
SP1	1.00e+0	1.90e+1	1.00e+0	3.95e-2	0	178	2
HBP1	1.00e+0	1.90e+1	1.00e+0	4.21e-2	0	15	1
FOXO1	1.00e+0	1.90e+1	1.00e+0	4.47e-2	0	160	0
TP53	1.00e+0	1.90e+1	1.00e+0	4.74e-2	0	97	0
LEF1	1.00e+0	1.90e+1	1.00e+0	5.00e-2	0	30	0
inhibited TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
SP3	8.38e-3	1.59e-1	1.59e-1	2.63e-3	2	27	0
HBP1	7.59e-2	1.44e+0	6.40e-1	5.26e-3	1	15	0
GLI2	1.01e-1	1.92e+0	6.40e-1	7.89e-3	2	104	1
LEF1	1.46e-1	2.78e+0	6.41e-1	1.05e-2	1	30	0
EGR1	1.69e-1	3.20e+0	6.41e-1	1.32e-2	1	35	0
SP1	2.38e-1	4.53e+0	7.54e-1	1.58e-2	2	178	0
TP53	4.04e-1	7.67e+0	1.00e+0	1.84e-2	1	97	0
GLI1	4.79e-1	9.11e+0	1.00e+0	2.11e-2	1	122	0
FOXO1	5.77e-1	1.10e+1	1.00e+0	2.37e-2	1	160	0
MYC	6.56e-1	1.25e+1	1.00e+0	2.63e-2	1	197	0
CTNNB1	8.08e-1	1.54e+1	1.00e+0	2.89e-2	1	300	0
SREBF1	1.00e+0	1.90e+1	1.00e+0	3.16e-2	0	50	0
SREBF2	1.00e+0	1.90e+1	1.00e+0	3.42e-2	0	34	0
PPARA	1.00e+0	1.90e+1	1.00e+0	3.68e-2	0	11	0
E2F3	1.00e+0	1.90e+1	1.00e+0	3.95e-2	0	35	0
TCF7L2	1.00e+0	1.90e+1	1.00e+0	4.21e-2	0	61	0
CREB1	1.00e+0	1.90e+1	1.00e+0	4.47e-2	0	54	0
E2F1	1.00e+0	1.90e+1	1.00e+0	4.74e-2	0	155	0
E2F2	1.00e+0	1.90e+1	1.00e+0	5.00e-2	0	31	0
