activated TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
FOXM1	7.990e-3	2.317e-1	7.724e-2	1.724e-3	1	2	0
CDX1	7.990e-3	2.317e-1	7.724e-2	3.448e-3	1	2	0
EBF1	7.990e-3	2.317e-1	7.724e-2	5.172e-3	1	2	0
SREBF1	1.626e-2	4.715e-1	1.179e-1	6.897e-3	2	50	0
USF1	2.379e-2	6.899e-1	1.380e-1	8.621e-3	1	6	0
PDX1	3.161e-2	9.167e-1	1.528e-1	1.034e-2	1	8	0
GATA2	4.706e-2	1.365e+0	1.916e-1	1.207e-2	1	12	0
SMAD1	5.471e-2	1.587e+0	1.916e-1	1.379e-2	1	14	0
NR2F1	6.229e-2	1.806e+0	1.916e-1	1.552e-2	1	16	0
TCF7	6.606e-2	1.916e+0	1.916e-1	1.724e-2	1	17	0
CEBPA	1.245e-1	3.612e+0	2.799e-1	1.897e-2	1	33	0
E2F1	1.251e-1	3.629e+0	2.799e-1	2.069e-2	2	155	0
SREBF2	1.281e-1	3.714e+0	2.799e-1	2.241e-2	1	34	0
SMAD4	1.351e-1	3.918e+0	2.799e-1	2.414e-2	1	36	0
HNF1A	1.456e-1	4.222e+0	2.815e-1	2.586e-2	1	39	0
ETS1	1.994e-1	5.783e+0	3.615e-1	2.759e-2	1	55	0
CTNNB1	3.411e-1	9.891e+0	5.818e-1	2.931e-2	2	300	0
STAT5A	1.000e+0	2.900e+1	1.000e+0	3.103e-2	0	44	0
STAT5B	1.000e+0	2.900e+1	1.000e+0	3.276e-2	0	44	0
STAT3	1.000e+0	2.900e+1	1.000e+0	3.448e-2	0	51	0
STAT1	1.000e+0	2.900e+1	1.000e+0	3.621e-2	0	25	0
RELA	1.000e+0	2.900e+1	1.000e+0	3.793e-2	0	35	0
TP53	1.000e+0	2.900e+1	1.000e+0	3.966e-2	0	97	0
CEBPB	1.000e+0	2.900e+1	1.000e+0	4.138e-2	0	16	0
NFKB1	1.000e+0	2.900e+1	1.000e+0	4.310e-2	0	63	0
GATA3	1.000e+0	2.900e+1	1.000e+0	4.483e-2	0	8	0
GLI1	1.000e+0	2.900e+1	1.000e+0	4.655e-2	0	122	0
E2F4	1.000e+0	2.900e+1	1.000e+0	4.828e-2	0	27	0
FOXO1	1.000e+0	2.900e+1	1.000e+0	5.000e-2	0	160	0
inhibited TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
STAT3	9.300e-4	2.697e-2	2.697e-2	1.724e-3	3	51	0
RELA	8.170e-3	2.369e-1	9.229e-2	3.448e-3	2	35	0
STAT5A	1.273e-2	3.692e-1	9.229e-2	5.172e-3	2	44	0
STAT5B	1.273e-2	3.692e-1	9.229e-2	6.897e-3	2	44	0
NFKB1	2.517e-2	7.299e-1	1.460e-1	8.621e-3	2	63	0
GATA3	3.161e-2	9.167e-1	1.528e-1	1.034e-2	1	8	0
CEBPB	6.229e-2	1.806e+0	2.581e-1	1.207e-2	1	16	0
STAT1	9.574e-2	2.776e+0	3.320e-1	1.379e-2	1	25	0
E2F4	1.030e-1	2.988e+0	3.320e-1	1.552e-2	1	27	0
CEBPA	1.245e-1	3.612e+0	3.477e-1	1.724e-2	1	33	0
FOXO1	1.319e-1	3.825e+0	3.477e-1	1.897e-2	2	160	0
TP53	3.262e-1	9.461e+0	7.884e-1	2.069e-2	1	97	0
GLI1	3.926e-1	1.139e+1	8.759e-1	2.241e-2	1	122	0
CTNNB1	7.170e-1	2.079e+1	1.000e+0	2.414e-2	1	300	0
SMAD1	1.000e+0	2.900e+1	1.000e+0	2.586e-2	0	14	1
USF1	1.000e+0	2.900e+1	1.000e+0	2.759e-2	0	6	0
SMAD4	1.000e+0	2.900e+1	1.000e+0	2.931e-2	0	36	0
TCF7	1.000e+0	2.900e+1	1.000e+0	3.103e-2	0	17	0
PDX1	1.000e+0	2.900e+1	1.000e+0	3.276e-2	0	8	0
SREBF1	1.000e+0	2.900e+1	1.000e+0	3.448e-2	0	50	0
SREBF2	1.000e+0	2.900e+1	1.000e+0	3.621e-2	0	34	0
EBF1	1.000e+0	2.900e+1	1.000e+0	3.793e-2	0	2	0
CDX1	1.000e+0	2.900e+1	1.000e+0	3.966e-2	0	2	0
NR2F1	1.000e+0	2.900e+1	1.000e+0	4.138e-2	0	16	0
E2F1	1.000e+0	2.900e+1	1.000e+0	4.310e-2	0	155	0
ETS1	1.000e+0	2.900e+1	1.000e+0	4.483e-2	0	55	0
GATA2	1.000e+0	2.900e+1	1.000e+0	4.655e-2	0	12	0
FOXM1	1.000e+0	2.900e+1	1.000e+0	4.828e-2	0	2	0
HNF1A	1.000e+0	2.900e+1	1.000e+0	5.000e-2	0	39	0
