activated TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
EBF1	5.540e-3	1.385e-1	6.925e-2	2.000e-3	1	2	0
CDX1	5.540e-3	1.385e-1	6.925e-2	4.000e-3	1	2	0
PPARA	3.011e-2	7.528e-1	1.909e-1	6.000e-3	1	11	0
GATA2	3.280e-2	8.200e-1	1.909e-1	8.000e-3	1	12	0
SMAD1	3.818e-2	9.545e-1	1.909e-1	1.000e-2	1	14	1
TCF7	4.619e-2	1.155e+0	1.925e-1	1.200e-2	1	17	0
HIF1A	5.941e-2	1.485e+0	2.065e-1	1.400e-2	1	22	0
CEBPA	8.792e-2	2.198e+0	2.065e-1	1.600e-2	1	33	0
SREBF2	9.047e-2	2.262e+0	2.065e-1	1.800e-2	1	34	0
RELA	9.302e-2	2.326e+0	2.065e-1	2.000e-2	1	35	0
SMAD4	9.556e-2	2.389e+0	2.065e-1	2.200e-2	1	36	0
YY1	1.132e-1	2.829e+0	2.065e-1	2.400e-2	1	43	0
STAT5A	1.157e-1	2.891e+0	2.065e-1	2.600e-2	1	44	0
STAT5B	1.157e-1	2.891e+0	2.065e-1	2.800e-2	1	44	0
SREBF1	1.305e-1	3.262e+0	2.175e-1	3.000e-2	1	50	0
GLI2	2.542e-1	6.354e+0	3.971e-1	3.200e-2	1	104	0
GLI1	2.918e-1	7.294e+0	4.291e-1	3.400e-2	1	122	0
E2F1	3.564e-1	8.909e+0	4.950e-1	3.600e-2	1	155	1
CTNNB1	5.825e-1	1.456e+1	7.664e-1	3.800e-2	1	300	0
FOXO4	1.000e+0	2.500e+1	1.000e+0	4.000e-2	0	7	0
ETS1	1.000e+0	2.500e+1	1.000e+0	4.200e-2	0	55	0
STAT1	1.000e+0	2.500e+1	1.000e+0	4.400e-2	0	25	0
STAT3	1.000e+0	2.500e+1	1.000e+0	4.600e-2	0	51	0
E2F4	1.000e+0	2.500e+1	1.000e+0	4.800e-2	0	27	0
GATA3	1.000e+0	2.500e+1	1.000e+0	5.000e-2	0	8	0
inhibited TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
FOXO4	1.925e-2	4.813e-1	2.747e-1	2.000e-3	1	7	0
GATA3	2.198e-2	5.495e-1	2.747e-1	4.000e-3	1	8	0
STAT1	6.726e-2	1.681e+0	4.457e-1	6.000e-3	1	25	1
E2F4	7.246e-2	1.811e+0	4.457e-1	8.000e-3	1	27	0
STAT5B	1.157e-1	2.891e+0	4.457e-1	1.000e-2	1	44	0
STAT5A	1.157e-1	2.891e+0	4.457e-1	1.200e-2	1	44	0
STAT3	1.329e-1	3.323e+0	4.457e-1	1.400e-2	1	51	0
ETS1	1.426e-1	3.566e+0	4.457e-1	1.600e-2	1	55	0
E2F1	3.564e-1	8.909e+0	9.899e-1	1.800e-2	1	155	0
YY1	1.000e+0	2.500e+1	1.000e+0	2.000e-2	0	43	0
PPARA	1.000e+0	2.500e+1	1.000e+0	2.200e-2	0	11	0
SMAD1	1.000e+0	2.500e+1	1.000e+0	2.400e-2	0	14	0
SMAD4	1.000e+0	2.500e+1	1.000e+0	2.600e-2	0	36	0
HIF1A	1.000e+0	2.500e+1	1.000e+0	2.800e-2	0	22	0
TCF7	1.000e+0	2.500e+1	1.000e+0	3.000e-2	0	17	0
SREBF1	1.000e+0	2.500e+1	1.000e+0	3.200e-2	0	50	0
SREBF2	1.000e+0	2.500e+1	1.000e+0	3.400e-2	0	34	0
CTNNB1	1.000e+0	2.500e+1	1.000e+0	3.600e-2	0	300	0
GLI2	1.000e+0	2.500e+1	1.000e+0	3.800e-2	0	104	0
GLI1	1.000e+0	2.500e+1	1.000e+0	4.000e-2	0	122	0
RELA	1.000e+0	2.500e+1	1.000e+0	4.200e-2	0	35	0
CDX1	1.000e+0	2.500e+1	1.000e+0	4.400e-2	0	2	0
EBF1	1.000e+0	2.500e+1	1.000e+0	4.600e-2	0	2	0
CEBPA	1.000e+0	2.500e+1	1.000e+0	4.800e-2	0	33	0
GATA2	1.000e+0	2.500e+1	1.000e+0	5.000e-2	0	12	0
