activated TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
SREBF1	3.800e-4	1.178e-2	1.178e-2	1.613e-3	3	50	0
TP53	2.660e-3	8.246e-2	4.123e-2	3.226e-3	3	97	0
ID3	9.210e-3	2.855e-1	6.334e-2	4.839e-3	1	3	0
ID2	9.210e-3	2.855e-1	6.334e-2	6.452e-3	1	3	0
NOTCH2	1.226e-2	3.801e-1	6.334e-2	8.065e-3	1	4	0
ID1	1.226e-2	3.801e-1	6.334e-2	9.677e-3	1	4	0
PPARA	3.340e-2	1.035e+0	1.479e-1	1.129e-2	1	11	0
SMAD1	4.233e-2	1.312e+0	1.640e-1	1.290e-2	1	14	0
NR2F1	4.825e-2	1.496e+0	1.662e-1	1.452e-2	1	16	0
HIF1A	6.579e-2	2.039e+0	1.885e-1	1.613e-2	1	22	0
STAT1	7.446e-2	2.308e+0	1.885e-1	1.774e-2	1	25	0
E2F1	7.917e-2	2.454e+0	1.885e-1	1.935e-2	2	155	0
FOXO1	8.369e-2	2.594e+0	1.885e-1	2.097e-2	2	160	0
CEBPA	9.721e-2	3.014e+0	1.885e-1	2.258e-2	1	33	0
SREBF2	1.000e-1	3.101e+0	1.885e-1	2.419e-2	1	34	0
E2F3	1.028e-1	3.187e+0	1.885e-1	2.581e-2	1	35	0
SMAD4	1.056e-1	3.274e+0	1.885e-1	2.742e-2	1	36	0
NOTCH1	1.167e-1	3.618e+0	1.885e-1	2.903e-2	1	40	0
YY1	1.249e-1	3.873e+0	1.885e-1	3.065e-2	1	43	0
STAT5A	1.277e-1	3.958e+0	1.885e-1	3.226e-2	1	44	0
STAT5B	1.277e-1	3.958e+0	1.885e-1	3.387e-2	1	44	0
CREB1	1.545e-1	4.791e+0	2.178e-1	3.548e-2	1	54	0
RBPJ	2.735e-1	8.479e+0	3.686e-1	3.710e-2	1	102	0
GLI1	3.185e-1	9.872e+0	4.113e-1	3.871e-2	1	122	0
SP1	4.313e-1	1.337e+1	5.348e-1	4.032e-2	1	178	0
MYC	1.000e+0	3.100e+1	1.000e+0	4.194e-2	0	197	0
CTNNB1	1.000e+0	3.100e+1	1.000e+0	4.355e-2	0	300	1
GLI2	1.000e+0	3.100e+1	1.000e+0	4.516e-2	0	104	0
MITF	1.000e+0	3.100e+1	1.000e+0	4.677e-2	0	25	0
NR1H2	1.000e+0	3.100e+1	1.000e+0	4.839e-2	0	17	0
NR1H3	1.000e+0	3.100e+1	1.000e+0	5.000e-2	0	17	0
inhibited TFs
Transcription Factor	P.value	E.value	Q.value	FDR control (B-H)	Intersection	Target genes	Random Control(%)
NR1H2	5.119e-2	1.587e+0	7.694e-1	1.613e-3	1	17	0
NR1H3	5.119e-2	1.587e+0	7.694e-1	3.226e-3	1	17	0
MITF	7.446e-2	2.308e+0	7.694e-1	4.839e-3	1	25	0
MYC	1.195e-1	3.705e+0	7.746e-1	6.452e-3	2	197	0
YY1	1.249e-1	3.873e+0	7.746e-1	8.065e-3	1	43	0
GLI2	2.781e-1	8.622e+0	1.000e+0	9.677e-3	1	104	0
GLI1	3.185e-1	9.872e+0	1.000e+0	1.129e-2	1	122	1
E2F1	3.872e-1	1.200e+1	1.000e+0	1.290e-2	1	155	0
FOXO1	3.970e-1	1.231e+1	1.000e+0	1.452e-2	1	160	0
CTNNB1	6.211e-1	1.925e+1	1.000e+0	1.613e-2	1	300	0
SMAD4	1.000e+0	3.100e+1	1.000e+0	1.774e-2	0	36	0
SMAD1	1.000e+0	3.100e+1	1.000e+0	1.935e-2	0	14	0
RBPJ	1.000e+0	3.100e+1	1.000e+0	2.097e-2	0	102	0
SP1	1.000e+0	3.100e+1	1.000e+0	2.258e-2	0	178	0
STAT1	1.000e+0	3.100e+1	1.000e+0	2.419e-2	0	25	0
STAT5B	1.000e+0	3.100e+1	1.000e+0	2.581e-2	0	44	0
STAT5A	1.000e+0	3.100e+1	1.000e+0	2.742e-2	0	44	0
PPARA	1.000e+0	3.100e+1	1.000e+0	2.903e-2	0	11	0
SREBF2	1.000e+0	3.100e+1	1.000e+0	3.065e-2	0	34	0
SREBF1	1.000e+0	3.100e+1	1.000e+0	3.226e-2	0	50	0
NOTCH2	1.000e+0	3.100e+1	1.000e+0	3.387e-2	0	4	0
ID1	1.000e+0	3.100e+1	1.000e+0	3.548e-2	0	4	0
HIF1A	1.000e+0	3.100e+1	1.000e+0	3.710e-2	0	22	0
E2F3	1.000e+0	3.100e+1	1.000e+0	3.871e-2	0	35	0
CREB1	1.000e+0	3.100e+1	1.000e+0	4.032e-2	0	54	0
ID2	1.000e+0	3.100e+1	1.000e+0	4.194e-2	0	3	0
ID3	1.000e+0	3.100e+1	1.000e+0	4.355e-2	0	3	0
CEBPA	1.000e+0	3.100e+1	1.000e+0	4.516e-2	0	33	0
NOTCH1	1.000e+0	3.100e+1	1.000e+0	4.677e-2	0	40	0
TP53	1.000e+0	3.100e+1	1.000e+0	4.839e-2	0	97	0
NR2F1	1.000e+0	3.100e+1	1.000e+0	5.000e-2	0	16	1
